timestamp,pushup_number
2025-09-24 18:23:39,1
2025-09-24 18:23:40,2
2025-09-24 18:23:42,3
2025-09-24 18:23:43,4
2025-09-24 18:23:44,5
2025-09-24 18:23:46,6
2025-09-24 18:23:47,7
2025-09-24 18:23:49,8
2025-09-24 18:23:50,9
2025-09-24 18:23:51,10
2025-09-24 18:23:53,11
2025-09-24 18:23:54,12
2025-09-24 18:23:55,13
2025-09-24 18:23:57,14
2025-09-24 18:23:58,15
2025-09-24 18:24:00,16
2025-09-24 18:24:01,17
2025-09-24 18:24:02,18
2025-09-24 18:24:08,19
2025-09-24 18:24:09,20
2025-09-24 18:24:11,21
2025-09-24 18:24:17,22
2025-09-24 18:24:21,23
2025-09-24 18:24:23,24
2025-09-24 18:24:24,25
